"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"JP11";"pinhead-1X02-PH";1;"M1/PINHD-1X2";;;
2;"REF20,REF1,REF12,REF16,REF15,REF13,REF11,REF9,REF10,REF8,REF7,REF6,REF5,REF4,REF2,REF3";"MountingHole_3mm";16;"MountingHole_3mm";;;
3;"Y2";"TXC-7V_xtal";1;"XC8-12MHz";;;
4;"PAD2,PAD1";"wirepad-SMD2_54-5_08";2;"WIREPADSMD2_54-5_08";;;
5;"BT1";"CR2032V";1;"Battery";;;
6;"D1";"SMA";1;"S1M_SMA";;;
7;"C1,C2,CX4,CX21";"generic-SMD1608";4;"12p";;;
8;"C7,C8,C9,C13,C14,C15,C16,C17,C18,C20,C5,C6,C3";"generic-SMD1608";13;"0.1u";;;
9;"IC1";"v-reg-DPACK";1;"NJM2845MABDT";;;
10;"LED1";"generic-LED1608";1;"Blue/1608";;;
11;"LED2";"generic-LED1608";1;"Red/1608";;;
12;"R5,R6";"rcl-RTRIMCVR42A";2;"VR502";;;
13;"R7,R8,R9,R10,R14,R19,R20,R22,R4,RX3,RX1,RX2";"generic-SMD1608";12;"10k";;;
14;"R11,R12,R13,R21,R23,R24,R25,R26,RX15,RX17";"generic-SMD1608";10;"1k";;;
15;"S1";"switch-TL3XYO";1;"TL32YO";;;
16;"JP1";"pinhead-1X05";1;"SWD/PINHD-1X5";;;
17;"JP13";"pinhead-1X02";1;"PRG/PINHD-1X2";;;
18;"JP15";"pinhead-1X02";1;"TX/PINHD-1X2";;;
19;"JP16";"pinhead-1X02";1;"RX/PINHD-1X2";;;
20;"U1";"LQFP-48_7x7mm_Pitch0.5mm";1;"STM32F373";;;
21;"U2";"ESP-13-WROOM-02";1;"ESP-13-WROOM-02";;;
22;"Y1";"ECS-31B_xtal";1;"RTC32";;;
23;"C12";"rcl-150CLZ-0810";1;"47uF/1010";;;
24;"C19";"rcl-150CLZ-1010";1;"470uF/CPOL-EU150CLZ-1010";;;
25;"IC2";"tb6612-SSOP24";1;"TB6612FNG";;;
26;"JP2,JP4,JP14";"pinhead-1X03";3;"REG/PINHD-1X3";;;
27;"JP5";"pinhead-1X02";1;"DIS/PINHD-1X2";;;
28;"JP7";"pinhead-1X03";1;"UART/PINHD-1X3";;;
29;"JP8";"pinhead-1X04";1;"I2C/PINHD-1X4";;;
30;"JP9";"pinhead-1X06";1;"ENC1/PINHD-1X6";;;
31;"JP10";"pinhead-1X06";1;"ENC2/PINHD-1X6";;;
32;"S2,S3,S4";"switch-omron-B3F-10XX";3;"RST";;;
33;"Q1";"SOT23";1;"MOSFET-NCHANNEL_D-PAK";;;
34;"M2";"sd-card-DM3AT-SF-PEJ";1;"DM3AT-SF-PEJ";;;
35;"C10,C11,C23";"generic-SMD2012";3;"10u";;;
36;"F1";"resistor-L1812";1;"F_Small";;;
37;"TP1,TP2";"testpad-TP10SQ";2;"TPTP10SQ";;;
38;"M1";"CONN-10118194-0001LF-FCI";1;"FCI-10118194";;;
39;"RX16,RX18";"generic-SMD1608";2;"5.1k";;;
40;"G2";"logo-cre";1;"LOGO";;;
41;"G1";"logo-re";1;"LOGO";;;
42;"JP12";"pinhead-1X02-PH";1;"M2/PINHD-1X2";;;
43;"JP6";"pinhead-1X02-PH";1;"LSR/PINHD-1X2";;;
